"Element","Epics Channel Access Name"
"BPMC009","BPMS:COL0:720"
"QC009","QUAD:COL0:720"
"YCC009","YCOR:COL0:729"
"CXC03","COLL:COL0:790"
"BPMC010","BPMS:COL0:800"
"QC010","QUAD:COL0:800"
"XCC010","XCOR:COL0:808"
"RFBC011","BPMS:COL0:875"
"BPMC011","BPMS:COL0:880"
"QC011","QUAD:COL0:880"
"YCC011","YCOR:COL0:889"
"XCC012","XCOR:COL0:932"
"BPMC012","BPMS:COL0:940"
"QC012","QUAD:COL0:940"
"CAVL021","ACCL:L1B:0210"
"CAVL022","ACCL:L1B:0220"
"CAVL023","ACCL:L1B:0230"
"CAVL024","ACCL:L1B:0240"
"CAVL025","ACCL:L1B:0250"
"CAVL026","ACCL:L1B:0260"
"CAVL027","ACCL:L1B:0270"
"CAVL028","ACCL:L1B:0280"
"CMB02","BPMS:L1B:0283"
"QCM02","QUAD:L1B:0285"
"XCM02","XCOR:L1B:0285"
"YCM02","YCOR:L1B:0285"
"CAVL031","ACCL:L1B:0310"
"CAVL032","ACCL:L1B:0320"
"CAVL033","ACCL:L1B:0330"
"CAVL034","ACCL:L1B:0340"
"CAVL035","ACCL:L1B:0350"
"CAVL036","ACCL:L1B:0360"
"CAVL037","ACCL:L1B:0370"
"CAVL038","ACCL:L1B:0380"
"CMB03","BPMS:L1B:0383"
"QCM03","QUAD:L1B:0385"
"XCM03","XCOR:L1B:0385"
"YCM03","YCOR:L1B:0385"
"CAVC011","ACCL:L1B:H110"
"CAVC012","ACCL:L1B:H120"
"CAVC013","ACCL:L1B:H130"
"CAVC014","ACCL:L1B:H140"
"CAVC015","ACCL:L1B:H150"
"CAVC016","ACCL:L1B:H160"
"CAVC017","ACCL:L1B:H170"
"CAVC018","ACCL:L1B:H180"
"CMBH1","BPMS:L1B:H183"
"CAVC021","ACCL:L1B:H110"
"CAVC022","ACCL:L1B:H220"
"CAVC023","ACCL:L1B:H230"
"CAVC024","ACCL:L1B:H240"
"CAVC025","ACCL:L1B:H250"
"CAVC026","ACCL:L1B:H260"
"CAVC027","ACCL:L1B:H270"
