BPMS:IN20:651 BPM12 MONI 16.915382 2031.764562  DL1A LSRHTR  CU_HXR LCLS DL1
OTRS:IN20:711 OTR4 PROF 17.796524 2032.555281  DL1B LSRHTR  CU_HXR LCLS DL1
XCOR:IN20:721 XC09 HKIC 17.957524 2032.708829  DL1B LSRHTR  CU_HXR LCLS DL1
YCOR:IN20:722 YC09 VKIC 17.957524 2032.708829  DL1B LSRHTR  CU_HXR LCLS DL1
QUAD:IN20:731 QB QUAD 18.176624 2032.917789  DL1B LSRHTR  CU_HXR LCLS DL1
BPMS:IN20:731 BPM13 MONI 18.176624 2032.917789  DL1B LSRHTR  CU_HXR LCLS DL1
WIRE:IN20:741 WS04 WIRE 18.518624 2033.243960  DL1B LSRHTR  CU_HXR LCLS DL1
XCOR:IN20:761 XC10 HKIC 19.381716 2034.083632  DL1B LSRHTR  CU_HXR LCLS DL1
YCOR:IN20:762 YC10 VKIC 19.381716 2034.083632  DL1B LSRHTR  CU_HXR LCLS DL1
QUAD:IN20:771 QM03 QUAD 19.576399 2034.278315  DL1B LSRHTR  CU_HXR LCLS DL1
BPMS:IN20:771 BPM14 MONI 19.576399 2034.278315  DL1B LSRHTR  CU_HXR LCLS DL1
QUAD:IN20:781 QM04 QUAD 19.981566 2034.683482  DL1B LSRHTR  CU_HXR LCLS DL1
BPMS:IN20:781 BPM15 MONI 19.981566 2034.683482  DL1B LSRHTR  CU_HXR LCLS DL1
TORO:IN20:791 IM03 IMON 20.175766 2034.877682  DL1B LSRHTR  CU_HXR LCLS DL1
XCOR:LI21:101 XC11 HKIC 20.786646 2035.488562  DL1B LSRHTR  CU_HXR LCLS L1
YCOR:LI21:102 YC11 VKIC 20.786646 2035.488562  DL1B LSRHTR  CU_HXR LCLS L1
QUAD:LI21:131 QA11 QUAD 23.293284 2037.995200  DL1B LSRHTR  CU_HXR LCLS L1
BPMS:LI21:131 BPMA11 MONI 23.293284 2037.995200  DL1B LSRHTR  CU_HXR LCLS L1
XCOR:LI21:135 XCA11 HKIC 23.830760 2038.532676  DL1B LSRHTR  CU_HXR LCLS L1
YCOR:LI21:136 YCA11 VKIC 23.830760 2038.532676  DL1B LSRHTR  CU_HXR LCLS L1
QUAD:LI21:161 QA12 QUAD 26.333964 2041.035880  DL1B LSRHTR  CU_HXR LCLS L1
